IsCanceled,LeadTime,StaysInWeekendNights,StaysInWeekNights,Adults,Meal,MarketSegment,DistributionChannel,IsRepeatedGuest,BookingChanges,DepositType,CustomerType,ADR,TotalOfSpecialRequests,Minors,CancelRate,WasInWaitingList,Season
0,1,0,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,0.0,0,summer
0,21,0,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,0.0,0,summer
0,9,0,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,94.71,0,0,0.0,0,summer
0,109,0,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,0.0,0,summer
1,71,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,0.0,0,summer
1,68,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,0.0,0,summer
1,12,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,100.81,1,0,0.0,0,summer
0,63,2,5,3,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,123.01,1,0,0.0,0,summer
0,101,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,95.71,2,1,0.0,0,summer
0,102,2,5,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,118.61,0,0,0.0,0,summer
0,4,2,1,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,85.36,1,0,0.0,0,summer
0,98,2,1,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,0.0,0,summer
0,92,2,4,1,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,100.81,2,2,0.0,0,summer
0,95,2,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,0.0,0,summer
0,102,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,123.01,1,0,0.0,0,summer
1,1,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,157.67,0,2,0.0,0,summer
1,28,2,5,3,HB       ,Direct,Direct,0,0,No Deposit     ,Transient,132.91,1,0,0.0,0,summer
1,29,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,0.0,0,summer
0,115,2,5,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,0.0,0,summer
0,102,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,2,1,0.0,0,summer
0,86,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,95.71,2,0,0.0,0,summer
0,78,2,5,2,HB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,123.01,2,1,0.0,0,summer
0,52,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
0,29,2,6,3,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,123.01,1,0,0.0,0,summer
1,48,2,6,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,123.01,1,0,0.0,0,summer
0,109,2,6,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,0.0,0,summer
0,92,4,6,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,95.71,1,0,0.0,0,summer
0,92,4,6,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,95.71,1,0,0.0,0,summer
0,79,4,6,2,HB       ,Direct,Direct,0,1,No Deposit     ,Transient,132.91,1,1,0.0,0,summer
0,2,0,1,2,BB       ,Online TA,TA/TO,0,1,No Deposit     ,Transient,157.67,0,2,0.0,0,summer
0,30,0,1,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,95.71,0,0,0.0,0,summer
1,15,0,1,1,HB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
1,36,0,1,1,BB       ,Direct,Direct,0,1,No Deposit     ,Transient,118.61,0,0,0.0,0,summer
1,21,0,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,0.0,0,summer
1,15,0,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,0.0,0,summer
0,32,0,1,4,FB       ,Complementary,Direct,0,2,No Deposit     ,Transient,73.50,1,0,0.0,0,summer
0,8,0,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,0.0,0,summer
0,100,1,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient-Party,87.07,1,0,0.0,0,summer
0,1,1,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
0,100,1,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient-Party,87.07,2,0,0.0,0,summer
0,100,1,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient-Party,87.07,1,0,0.0,0,summer
0,9,1,0,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,0.0,0,summer
1,1,1,0,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,0.0,0,summer
0,0,1,0,2,BB       ,Online TA,TA/TO,0,1,No Deposit     ,Transient,93.72,0,0,0.0,0,summer
0,9,1,0,1,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,0.0,0,summer
0,2,1,0,1,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,0.0,0,summer
0,2,1,0,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,0.0,0,summer
0,9,1,0,1,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,0.0,0,summer
1,1,1,0,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,0.0,0,summer
0,2,1,0,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,176.38,1,0,0.0,0,summer
0,44,2,0,3,HB       ,Online TA,TA/TO,0,3,No Deposit     ,Transient,157.63,0,0,0.0,0,summer
0,80,2,0,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,0.0,0,summer
0,97,2,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,105.50,2,0,0.0,0,summer
0,109,2,3,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,93.72,2,1,0.0,0,summer
0,30,2,3,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,127.24,0,0,0.0,0,summer
0,64,2,3,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,127.24,0,0,0.0,0,summer
0,39,2,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,173.50,0,0,0.0,0,summer
0,90,2,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,0.0,0,summer
1,16,2,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,173.50,0,2,0.0,0,summer
1,28,2,5,2,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,0.0,0,summer
0,97,2,5,2,HB       ,Direct,Direct,0,1,No Deposit     ,Transient,136.79,1,2,0.0,0,summer
0,29,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,110.56,1,0,0.0,0,summer
1,4,2,5,2,HB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,0.0,0,summer
0,27,2,5,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,127.24,0,0,0.0,0,summer
0,8,4,5,2,BB       ,Online TA,TA/TO,0,1,No Deposit     ,Transient,173.50,1,2,0.0,0,summer
0,82,4,6,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,105.50,2,0,0.0,0,summer
0,94,4,6,3,BB       ,Direct,Direct,0,3,No Deposit     ,Transient,119.50,1,0,0.0,0,summer
0,110,4,7,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,105.50,0,0,0.0,0,summer
0,96,4,10,1,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,93.72,0,0,0.0,0,summer
0,79,4,10,2,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,105.50,0,0,0.0,0,summer
0,115,1,4,2,BB       ,Online TA,TA/TO,0,1,No Deposit     ,Transient,157.63,0,2,0.0,0,summer
0,111,1,3,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,2,0,0.0,0,summer
0,51,1,3,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,157.63,2,0,0.0,0,summer
0,94,1,3,3,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,105.50,1,0,0.0,0,summer
0,81,1,3,2,HB       ,Direct,Direct,0,0,No Deposit     ,Transient,176.38,0,2,0.0,0,summer
0,84,1,3,2,BB       ,Online TA,TA/TO,0,1,No Deposit     ,Transient,105.50,2,1,0.0,0,summer
0,51,1,3,3,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,157.63,2,0,0.0,0,summer
0,111,0,0,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,2,0,0.0,0,summer
0,0,0,0,1,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,116.00,0,0,0.0,0,summer
0,2,1,0,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,96.78,0,1,0.0,0,summer
0,7,1,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,2,0,0.0,0,summer
0,98,1,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,105.50,1,0,0.0,0,summer
0,95,1,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,105.50,1,0,0.0,0,summer
1,15,1,3,2,HB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,127.24,0,0,0.0,0,summer
0,66,1,3,2,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,0.0,0,summer
0,104,1,3,2,BB       ,Online TA,TA/TO,0,1,No Deposit     ,Transient,93.72,1,0,0.0,0,summer
0,28,1,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,127.24,0,0,0.0,0,summer
0,34,1,4,2,HB       ,Direct,Direct,0,0,No Deposit     ,Transient,182.32,0,0,0.0,0,summer
0,98,1,5,2,HB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,0.0,0,summer
0,104,1,5,2,BB       ,Online TA,TA/TO,0,1,No Deposit     ,Transient,127.24,0,0,0.0,0,summer
0,68,2,5,2,HB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,157.63,0,2,0.0,0,summer
1,76,2,5,1,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,0.0,0,summer
0,258,2,5,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,93.72,0,0,0.0,0,summer
0,111,3,5,2,HB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,0.0,0,summer
1,41,3,7,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,0.0,0,summer
0,112,3,7,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,0.0,0,summer
0,100,3,7,2,BB       ,Offline TA/TO,TA/TO,0,1,No Deposit     ,Transient,105.50,1,0,0.0,0,summer
0,33,3,7,2,HB       ,Direct,Direct,0,5,No Deposit     ,Transient,182.32,1,0,0.0,0,summer
0,97,3,7,2,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,105.50,2,0,0.0,0,summer
0,80,3,8,1,BB       ,Direct,Direct,0,1,No Deposit     ,Transient,96.78,0,0,0.0,0,summer
0,90,4,10,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,105.50,0,0,0.0,0,summer
0,111,4,10,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,93.72,0,0,0.0,0,summer
0,65,2,5,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,0.0,0,summer
1,6,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,0.0,0,summer
0,55,0,3,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,2,0,0.0,0,summer
0,21,0,3,2,HB       ,Direct,Direct,0,0,No Deposit     ,Transient,182.32,1,1,0.0,0,summer
0,8,0,0,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,96.78,1,0,0.0,0,summer
0,8,0,0,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,0.0,0,summer
0,0,0,1,1,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,3,0,0.0,0,summer
0,0,0,1,3,HB       ,Direct,Direct,0,0,No Deposit     ,Transient,136.79,0,0,0.0,0,summer
0,0,0,1,1,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,3,0,0.0,0,summer
0,8,0,4,3,BB       ,Online TA,TA/TO,0,2,No Deposit     ,Transient,173.50,1,2,0.0,0,summer
0,66,0,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,105.50,2,0,0.0,0,summer
0,88,0,4,3,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,105.50,1,0,0.0,0,summer
0,0,0,4,2,BB       ,Direct,Direct,0,2,No Deposit     ,Transient,96.78,0,0,0.0,0,summer
1,3,0,5,2,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,0.0,0,summer
1,3,2,5,2,HB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,127.24,2,0,0.0,0,summer
0,54,2,5,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,0.0,0,summer
1,188,2,5,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,93.72,0,0,0.0,0,summer
0,112,4,10,2,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,105.50,1,0,0.0,0,summer
0,68,0,3,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,127.24,1,0,0.0,0,summer
0,7,0,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,2,0,0.0,0,summer
0,1,0,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,0.0,0,summer
1,72,0,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,0.0,0,summer
0,5,0,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,105.50,1,0,0.0,0,summer
0,83,0,4,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,0.0,0,summer
1,96,0,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,0.0,0,summer
0,0,0,1,1,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,0.0,0,summer
1,1,0,1,2,BB       ,Corporate,Corporate,0,0,No Deposit     ,Transient,104.69,1,0,0.0,0,summer
1,1,0,1,2,BB       ,Corporate,Corporate,0,0,No Deposit     ,Transient,104.69,1,0,0.0,0,summer
0,1,0,2,2,BB       ,Corporate,Corporate,0,0,No Deposit     ,Transient,104.69,1,0,0.0,0,summer
1,61,1,4,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,96.78,1,0,0.0,0,summer
0,113,2,4,2,BB       ,Direct,Direct,0,1,No Deposit     ,Transient,116.00,1,0,0.0,0,summer
1,196,2,5,2,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,105.50,1,1,0.0,0,summer
0,96,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,127.24,1,0,0.0,0,summer
0,394,2,5,2,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,105.50,0,0,0.0,0,summer
0,33,2,5,2,HB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,127.24,0,0,0.0,0,summer
0,82,2,6,3,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,96.78,1,0,0.0,0,summer
0,100,2,7,3,BB       ,Online TA,TA/TO,0,1,No Deposit     ,Transient-Party,127.24,3,0,0.0,0,summer
0,100,2,7,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient-Party,127.24,2,0,0.0,0,summer
