IsCanceled,LeadTime,Adults,Meal,DistributionChannel,IsRepeatedGuest,BookingChanges,DepositType,CustomerType,ADR,TotalOfSpecialRequests,Minors,Staying,CancelRate,WasInWaitingList,Season
0,72,2,BB       ,Direct,0,1,No Deposit     ,Transient,85.36,1,0,6,0.0,0,summer
0,72,2,BB       ,Direct,0,1,No Deposit     ,Transient,132.91,1,0,6,0.0,0,summer
0,127,2,HB       ,TA/TO,0,0,No Deposit     ,Contract,95.71,1,0,7,0.0,0,summer
0,78,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,7,0.0,0,summer
0,48,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,95.71,0,0,7,0.0,0,summer
1,9,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,2,0,7,0.0,0,summer
0,77,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,7,0.0,0,summer
0,99,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,7,0.0,0,summer
0,118,1,BB       ,Direct,0,2,No Deposit     ,Transient,85.36,2,0,14,0.0,0,summer
0,95,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,15,0.0,0,summer
1,63,2,BB       ,Direct,0,0,No Deposit     ,Transient,118.61,2,0,10,0.0,0,summer
0,69,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,6,0.0,0,summer
1,1,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,4,0.0,0,summer
1,27,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,4,0.0,0,summer
0,15,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,4,0.0,0,summer
0,36,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,4,0.0,0,summer
1,3,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,4,0.0,0,summer
0,70,2,HB       ,Direct,0,0,No Deposit     ,Transient,118.61,1,0,5,0.0,0,summer
1,0,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,149.57,0,0,5,0.0,0,summer
0,45,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,95.71,0,0,5,0.0,0,summer
0,16,2,BB       ,Direct,0,0,No Deposit     ,Transient,128.33,0,0,5,0.0,0,summer
0,70,2,HB       ,Direct,0,0,No Deposit     ,Transient,118.61,1,0,5,0.0,0,summer
0,107,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,7,0.0,0,summer
1,17,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,149.57,0,2,7,0.0,0,summer
0,96,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,7,0.0,0,summer
0,113,2,BB       ,TA/TO,0,0,No Deposit     ,Transient-Party,123.01,2,0,7,0.0,0,summer
0,90,2,HB       ,TA/TO,0,1,No Deposit     ,Contract,87.07,0,0,7,0.0,0,summer
0,50,2,HB       ,TA/TO,0,1,No Deposit     ,Transient,123.01,1,0,7,0.0,0,summer
0,113,2,BB       ,TA/TO,0,0,No Deposit     ,Transient-Party,95.71,2,0,7,0.0,0,summer
0,93,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,11,0.0,0,summer
0,76,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,95.71,0,0,14,0.0,0,summer
0,3,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,1,0.0,0,summer
0,1,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,157.67,0,0,1,0.0,0,summer
0,1,2,BB       ,Direct,0,0,No Deposit     ,Transient,63.40,2,2,1,0.0,0,summer
0,0,2,BB       ,Direct,0,0,No Deposit     ,Transient,73.50,0,0,1,0.0,0,summer
0,0,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,1,0.0,0,summer
0,0,2,BB       ,Direct,0,0,No Deposit     ,Transient,135.33,0,0,1,0.0,0,summer
0,14,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,2,0.0,0,summer
0,10,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,149.57,0,0,2,0.0,0,summer
0,5,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,2,0,2,0.0,0,summer
0,17,2,BB       ,Direct,0,0,No Deposit     ,Transient,128.33,1,0,3,0.0,0,summer
0,93,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,3,0.0,0,summer
1,0,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,3,0.0,0,summer
0,10,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,149.57,0,2,2,0.0,0,summer
0,3,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,2,0.0,0,summer
0,51,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,2,0.0,0,summer
1,54,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,2,0.0,0,summer
1,48,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,2,0.0,0,summer
1,62,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,2,0.0,0,summer
1,80,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,2,0.0,0,summer
0,2,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,2,0.0,0,summer
0,15,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,2,0.0,0,summer
1,27,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,2,0.0,0,summer
0,3,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,3,0.0,0,summer
1,10,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,3,0.0,0,summer
0,2,1,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,4,0.0,0,summer
0,72,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,4,0.0,0,summer
0,81,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,8,0.0,0,summer
0,99,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,9,0.0,0,summer
1,323,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,10,0.0,0,summer
0,364,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,10,0.0,0,summer
1,57,2,HB       ,Direct,0,2,No Deposit     ,Transient,85.36,1,0,10,0.0,0,summer
0,99,2,HB       ,TA/TO,0,0,No Deposit     ,Contract,123.01,0,0,10,0.0,0,summer
0,324,2,HB       ,TA/TO,0,0,No Deposit     ,Contract,123.01,0,0,14,0.0,0,summer
0,69,2,BB       ,TA/TO,0,1,No Deposit     ,Transient,100.81,1,0,14,0.0,0,summer
1,0,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,1,21,0.0,0,summer
0,12,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,1,0.0,0,summer
0,9,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,1,0.0,0,summer
0,1,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,1,0.0,0,summer
0,21,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,1,0.0,0,summer
0,9,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,94.71,0,0,1,0.0,0,summer
0,109,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,1,0.0,0,summer
1,71,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,2,0.0,0,summer
1,68,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,2,0.0,0,summer
1,12,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,100.81,1,0,7,0.0,0,summer
0,63,3,HB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,1,0,7,0.0,0,summer
0,101,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,2,1,7,0.0,0,summer
0,102,2,BB       ,Direct,0,0,No Deposit     ,Transient,118.61,0,0,7,0.0,0,summer
0,4,2,BB       ,Direct,0,0,No Deposit     ,Transient,85.36,1,0,3,0.0,0,summer
0,98,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,3,0.0,0,summer
0,92,1,BB       ,TA/TO,0,0,No Deposit     ,Transient,100.81,2,2,6,0.0,0,summer
0,95,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,6,0.0,0,summer
0,102,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,1,0,7,0.0,0,summer
1,1,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,157.67,0,2,7,0.0,0,summer
1,28,3,HB       ,Direct,0,0,No Deposit     ,Transient,132.91,1,0,7,0.0,0,summer
1,29,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,7,0.0,0,summer
0,115,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,7,0.0,0,summer
0,102,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,1,7,0.0,0,summer
0,86,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,2,0,7,0.0,0,summer
0,78,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,2,1,7,0.0,0,summer
0,52,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,7,0.0,0,summer
0,29,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,1,0,8,0.0,0,summer
1,48,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,1,0,8,0.0,0,summer
0,109,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,8,0.0,0,summer
0,92,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,95.71,1,0,10,0.0,0,summer
0,92,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,95.71,1,0,10,0.0,0,summer
0,79,2,HB       ,Direct,0,1,No Deposit     ,Transient,132.91,1,1,10,0.0,0,summer
0,2,2,BB       ,TA/TO,0,1,No Deposit     ,Transient,157.67,0,2,1,0.0,0,summer
0,30,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,95.71,0,0,1,0.0,0,summer
1,15,1,HB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,1,0.0,0,summer
1,36,1,BB       ,Direct,0,1,No Deposit     ,Transient,118.61,0,0,1,0.0,0,summer
1,21,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,1,0.0,0,summer
1,15,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,1,0.0,0,summer
0,32,4,FB       ,Direct,0,2,No Deposit     ,Transient,73.50,1,0,1,0.0,0,summer
0,8,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,1,0.0,0,summer
0,100,2,BB       ,TA/TO,0,0,No Deposit     ,Transient-Party,87.07,1,0,2,0.0,0,summer
0,1,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,2,0.0,0,summer
0,100,2,BB       ,TA/TO,0,0,No Deposit     ,Transient-Party,87.07,2,0,2,0.0,0,summer
0,100,2,BB       ,TA/TO,0,0,No Deposit     ,Transient-Party,87.07,1,0,2,0.0,0,summer
0,9,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,1,0.0,0,summer
1,1,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,1,0.0,0,summer
0,0,2,BB       ,TA/TO,0,1,No Deposit     ,Transient,93.72,0,0,1,0.0,0,summer
0,9,1,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,1,0.0,0,summer
0,2,1,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,1,0.0,0,summer
0,2,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,1,0.0,0,summer
0,9,1,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,1,0.0,0,summer
1,1,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,1,0.0,0,summer
0,2,2,BB       ,Direct,0,0,No Deposit     ,Transient,176.38,1,0,1,0.0,0,summer
0,44,3,HB       ,TA/TO,0,3,No Deposit     ,Transient,157.63,0,0,2,0.0,0,summer
0,80,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,2,0.0,0,summer
0,97,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,2,0,4,0.0,0,summer
0,109,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,2,1,5,0.0,0,summer
0,30,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,127.24,0,0,5,0.0,0,summer
0,64,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,127.24,0,0,5,0.0,0,summer
0,39,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,173.50,0,0,6,0.0,0,summer
0,90,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,6,0.0,0,summer
1,16,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,173.50,0,2,6,0.0,0,summer
1,28,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,7,0.0,0,summer
0,97,2,HB       ,Direct,0,1,No Deposit     ,Transient,136.79,1,2,7,0.0,0,summer
0,29,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,110.56,1,0,7,0.0,0,summer
1,4,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,7,0.0,0,summer
0,27,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,127.24,0,0,7,0.0,0,summer
0,8,2,BB       ,TA/TO,0,1,No Deposit     ,Transient,173.50,1,2,9,0.0,0,summer
0,82,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,2,0,10,0.0,0,summer
0,94,3,BB       ,Direct,0,3,No Deposit     ,Transient,119.50,1,0,10,0.0,0,summer
0,110,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,105.50,0,0,11,0.0,0,summer
0,96,1,HB       ,TA/TO,0,0,No Deposit     ,Contract,93.72,0,0,14,0.0,0,summer
0,79,2,HB       ,TA/TO,0,0,No Deposit     ,Contract,105.50,0,0,14,0.0,0,summer
0,115,2,BB       ,TA/TO,0,1,No Deposit     ,Transient,157.63,0,2,5,0.0,0,summer
0,111,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,2,0,4,0.0,0,summer
0,51,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,157.63,2,0,4,0.0,0,summer
0,94,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,1,0,4,0.0,0,summer
0,81,2,HB       ,Direct,0,0,No Deposit     ,Transient,176.38,0,2,4,0.0,0,summer
0,84,2,BB       ,TA/TO,0,1,No Deposit     ,Transient,105.50,2,1,4,0.0,0,summer
0,51,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,157.63,2,0,4,0.0,0,summer
0,111,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,2,0,0,0.0,0,summer
0,0,1,BB       ,Direct,0,0,No Deposit     ,Transient,116.00,0,0,0,0.0,0,summer
0,2,2,BB       ,Direct,0,0,No Deposit     ,Transient,96.78,0,1,1,0.0,0,summer
0,7,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,2,0,2,0.0,0,summer
0,98,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,1,0,2,0.0,0,summer
0,95,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,1,0,3,0.0,0,summer
1,15,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,127.24,0,0,4,0.0,0,summer
0,66,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,4,0.0,0,summer
0,104,2,BB       ,TA/TO,0,1,No Deposit     ,Transient,93.72,1,0,4,0.0,0,summer
0,28,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,127.24,0,0,5,0.0,0,summer
0,34,2,HB       ,Direct,0,0,No Deposit     ,Transient,182.32,0,0,5,0.0,0,summer
0,98,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,6,0.0,0,summer
0,104,2,BB       ,TA/TO,0,1,No Deposit     ,Transient,127.24,0,0,6,0.0,0,summer
0,68,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,157.63,0,2,7,0.0,0,summer
1,76,1,HB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,7,0.0,0,summer
0,258,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,93.72,0,0,7,0.0,0,summer
0,111,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,8,0.0,0,summer
1,41,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,10,0.0,0,summer
0,112,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,10,0.0,0,summer
0,100,2,BB       ,TA/TO,0,1,No Deposit     ,Transient,105.50,1,0,10,0.0,0,summer
0,33,2,HB       ,Direct,0,5,No Deposit     ,Transient,182.32,1,0,10,0.0,0,summer
0,97,2,HB       ,TA/TO,0,0,No Deposit     ,Contract,105.50,2,0,10,0.0,0,summer
0,80,1,BB       ,Direct,0,1,No Deposit     ,Transient,96.78,0,0,11,0.0,0,summer
0,90,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,105.50,0,0,14,0.0,0,summer
0,111,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,93.72,0,0,14,0.0,0,summer
0,65,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,7,0.0,0,summer
1,6,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,2,0.0,0,summer
0,55,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,2,0,3,0.0,0,summer
0,21,2,HB       ,Direct,0,0,No Deposit     ,Transient,182.32,1,1,3,0.0,0,summer
0,8,2,BB       ,Direct,0,0,No Deposit     ,Transient,96.78,1,0,0,0.0,0,summer
0,8,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,0,0.0,0,summer
0,0,1,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,3,0,1,0.0,0,summer
0,0,3,HB       ,Direct,0,0,No Deposit     ,Transient,136.79,0,0,1,0.0,0,summer
0,0,1,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,3,0,1,0.0,0,summer
0,8,3,BB       ,TA/TO,0,2,No Deposit     ,Transient,173.50,1,2,4,0.0,0,summer
0,66,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,2,0,4,0.0,0,summer
0,88,3,HB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,1,0,4,0.0,0,summer
0,0,2,BB       ,Direct,0,2,No Deposit     ,Transient,96.78,0,0,4,0.0,0,summer
1,3,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,5,0.0,0,summer
1,3,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,127.24,2,0,7,0.0,0,summer
0,54,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,0,0,7,0.0,0,summer
1,188,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,93.72,0,0,7,0.0,0,summer
0,112,2,HB       ,TA/TO,0,0,No Deposit     ,Contract,105.50,1,0,14,0.0,0,summer
0,68,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,127.24,1,0,3,0.0,0,summer
0,7,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,2,0,4,0.0,0,summer
0,1,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,4,0.0,0,summer
1,72,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,4,0.0,0,summer
0,5,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,105.50,1,0,4,0.0,0,summer
0,83,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,4,0.0,0,summer
1,96,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,4,0.0,0,summer
0,0,1,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,1,0.0,0,summer
1,1,2,BB       ,Corporate,0,0,No Deposit     ,Transient,104.69,1,0,1,0.0,0,summer
1,1,2,BB       ,Corporate,0,0,No Deposit     ,Transient,104.69,1,0,1,0.0,0,summer
0,1,2,BB       ,Corporate,0,0,No Deposit     ,Transient,104.69,1,0,2,0.0,0,summer
1,61,2,BB       ,Direct,0,0,No Deposit     ,Transient,96.78,1,0,5,0.0,0,summer
0,113,2,BB       ,Direct,0,1,No Deposit     ,Transient,116.00,1,0,6,0.0,0,summer
1,196,2,HB       ,TA/TO,0,0,No Deposit     ,Contract,105.50,1,1,7,0.0,0,summer
0,96,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,127.24,1,0,7,0.0,0,summer
0,394,2,HB       ,TA/TO,0,0,No Deposit     ,Contract,105.50,0,0,7,0.0,0,summer
0,33,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,127.24,0,0,7,0.0,0,summer
0,82,3,BB       ,Direct,0,0,No Deposit     ,Transient,96.78,1,0,8,0.0,0,summer
0,100,3,BB       ,TA/TO,0,1,No Deposit     ,Transient-Party,127.24,3,0,9,0.0,0,summer
0,100,2,BB       ,TA/TO,0,0,No Deposit     ,Transient-Party,127.24,2,0,9,0.0,0,summer
0,17,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,121.45,3,2,1,0.0,0,summer
0,68,3,BB       ,Direct,0,0,No Deposit     ,Transient,96.78,1,0,2,0.0,0,summer
0,12,2,BB       ,Direct,0,2,No Deposit     ,Transient,146.00,0,2,2,0.0,0,summer
1,40,2,BB       ,Direct,0,0,No Deposit     ,Transient,119.50,0,0,3,0.0,0,summer
1,1,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,121.45,1,2,3,0.0,0,summer
1,21,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,157.63,0,2,3,0.0,0,summer
0,78,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,2,1,3,0.0,0,summer
1,1,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,4,0.0,0,summer
1,91,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,4,0.0,0,summer
0,16,1,BB       ,Direct,0,0,No Deposit     ,Transient,96.78,1,0,4,0.0,0,summer
0,14,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,5,0.0,0,summer
0,77,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,5,0.0,0,summer
0,90,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,7,0.0,0,summer
0,90,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,93.72,0,0,7,0.0,0,summer
0,90,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,127.24,0,0,7,0.0,0,summer
0,366,2,HB       ,TA/TO,0,0,No Deposit     ,Contract,127.24,0,0,7,0.0,0,summer
0,249,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,7,0.0,0,summer
1,12,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,2,0,8,0.0,0,summer
0,10,2,BB       ,Direct,0,0,No Deposit     ,Transient,96.78,0,0,1,0.0,0,summer
0,22,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,2,0.0,0,summer
0,91,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,2,0.0,0,summer
0,23,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,0,0,2,0.0,0,summer
0,11,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,2,0.0,0,summer
0,3,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,2,0.0,0,summer
0,13,2,HB       ,TA/TO,0,2,No Deposit     ,Transient,157.63,1,1,2,0.0,0,summer
0,108,2,BB       ,TA/TO,0,1,No Deposit     ,Transient,105.50,2,0,2,0.0,0,summer
0,91,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,1,0,2,0.0,0,summer
0,37,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,121.45,1,0,3,0.0,0,summer
0,21,2,BB       ,Direct,0,0,No Deposit     ,Transient,96.78,1,0,3,0.0,0,summer
0,106,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,127.24,2,0,3,0.0,0,summer
0,30,2,FB       ,Direct,0,0,No Deposit     ,Transient-Party,182.32,1,0,4,0.0,0,summer
0,30,2,FB       ,Direct,0,0,No Deposit     ,Transient-Party,182.32,1,0,4,0.0,0,summer
1,40,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,127.24,0,0,5,0.0,0,summer
0,79,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,93.72,2,0,5,0.0,0,summer
0,21,2,HB       ,Direct,0,1,No Deposit     ,Transient,136.79,3,2,5,0.0,0,summer
0,35,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,157.63,0,2,5,0.0,0,summer
